,Age,Education Level,Race,Gender,householdSize,maritalStatus,Region,kidsInHH,employmentStatus,Hispanic,White,Black,nativeAmerican,asainIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,otherAsainEthnicity,Hawaiian,Guamanian,Samoan,otherPacificIslander,someOtherRace,politicalParty,Religion,Married,LGBTQ+,romanticPartner,partnersGender,sameGenderAsPartner,partnerHispanic,partnersRace,partnerChristian,partnersReligion,partnersAge,partnersEducationLevel,partnersPoliticalParty,livingWithPartner,ageMetPartner,ageRelationshipStarted,ageLivingTogether,ageMarried,relationshipLength,whoEarnsMore,sameHighSchool,sameCollege,sameHometown,parentsApprove,metAtWork,metAtSchool,metAtChurch,metViaInternetService,metOnVacation,metAtBar,metAtClubActivity,metAtParty,metOther,usedInternetSevice,familyIntroduced,friendsIntroduced,coworkersIntroduced,classmateIntroduced,neighborsIntroduced,selfIntroduced,otherIntroduced,qualityOfRelationship,metOnline,metAsCoworkers,metThroughFriends,metThroughFamily,metThroughSigOther,metThroughNeighbor,metCollege,metMilitary,metChurch,metVoluntaryOrg,metAsCustomer,metInternetDating,metNetworking,metGaming,metInternetChat,metInternetCommunity,metInternetOther,metInPublic,metBlindDate,metAtSinglesServiceNonInternet,metOnBusiness,metAsWorkNeighbors,typeOfInternetMeeting,sameSexCouple,ageDifference,metThroughFriends,metThroughFamily,metAsNeighbors,metThroughCoworkers,partnersRace,partnersRegion,stillMarriedToPartner,livingWithPartner,howDidMarriageEnd,stillInRelationship,livingTogether,howDidRelationshipEnd,relationshipStatus
10,65,masters degree,"white, non-hispanic",female,2,living with partner,northeast,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,65.0,master's degree,democrat,yes,36.0,38.0,39.0,,,partner earned more,different high school,did not attend same college or university,no,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,0.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,,,,,,,,,
11,53,professional or doctorate degree,"white, non-hispanic",male,2,living with partner,west,0,working - self-employed,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),black or african american,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",44.0,master's degree,democrat,yes,38.0,38.0,38.0,,,we earned about the same amount,different high school,did not attend same college or university,no,approve,no,no,no,no,no,yes,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,9.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,yes,yes,,Living with partner
12,34,bachelors degree,"white, non-hispanic",female,2,married,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","yes, i am married",,,male,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify",34.0,bachelor's degree,independent,yes,18.0,20.0,22.0,23.0,,i earned more,different high school,attended same college or university,no,approve,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,0.0,meet through friends,not met through family,met through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,Married
13,65,masters degree,"white, non-hispanic",male,2,divorced,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,other christian,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify",50.0,"some college, no degree",democrat,no,51.0,51.0,,,,partner earned more,different high school,did not attend same college or university,no,,no,no,no,yes,no,no,no,no,no,"yes, an internet dating or matchmaking site (like eharmony or match.com)",no,no,no,no,no,yes,no,excellent,met online,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,15.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,no,,other (please describe),Never married
14,49,bachelors degree,"white, non-hispanic",male,2,divorced,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",46.0,bachelor's degree,democrat,no,49.0,49.0,,,1-3 months,partner earned more,different high school,did not attend same college or university,no,,no,no,no,yes,no,no,no,no,no,"yes, an internet chat room",no,no,no,no,no,yes,no,fair,met online,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,3.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,,,,no,,we broke up,Divorced
15,65,bachelors degree,"white, non-hispanic",female,2,living with partner,northeast,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",northeast,,,,,,,Divorced
16,89,"some college, no degree","white, non-hispanic",male,1,never married,west,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,other christian,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify",52.0,bachelor's degree,no preference,no,70.0,70.0,,,,partner earned more,different high school,did not attend same college or university,no,,no,no,no,yes,no,no,no,no,no,"yes, an internet dating or matchmaking site (like eharmony or match.com)",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,37.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,yes,no,,Divorced
17,41,bachelors degree,"white, non-hispanic",male,1,never married,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,Never married
18,33,professional or doctorate degree,"white, non-hispanic",male,1,never married,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),black or african american,no,refused,27.0,hs graduate or ged,democrat,no,31.0,31.0,,,"more than 2 years, less than 3 years",i earned more,different high school,,no,do not know,no,no,no,yes,no,no,no,no,no,"yes, an internet classified advertising site (like craigslist)",refused,refused,refused,refused,refused,refused,refused,good,met online,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,6.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,no,,other (please describe),Never married
19,50,11th grade,"white, non-hispanic",male,1,never married,south,0,not working - looking for work,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,52.0,bachelor's degree,democrat,no,50.0,50.0,,,1-3 months,partner earned more,different high school,,no,do not know,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,same-sex couple,2.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,,,,no,,other (please describe),Never married
20,64,"some college, no degree","2+ races, non-hispanic",male,2,never married,west,0,not working - looking for work,"no, i am not",yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Never married
21,38,masters degree,"white, non-hispanic",male,3,married,northeast,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"yes, i am married",,,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,catholic,45.0,hs graduate or ged,democrat,yes,25.0,27.0,28.0,34.0,,i earned more,different high school,,no,approve,no,no,no,no,yes,no,no,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,,,,,,,,,,,,,,,,,,,,,,,,same-sex couple,7.0,,,,,"white, non-hispanic",northeast,yes,yes,,,,,Married
22,48,"some college, no degree","black, non-hispanic",female,2,living with partner,west,0,working - as a paid employee,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","yes, i am married",,,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,buddhist,47.0,"some college, no degree",democrat,yes,44.0,44.0,45.0,45.0,,partner earned more,different high school,did not attend same college or university,no,approve,no,no,no,yes,no,no,no,no,no,"yes, a different kind of internet service",no,no,no,no,no,no,yes,good,met online,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,1.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"black, non-hispanic",west,yes,yes,,,,,Living with partner
23,65,masters degree,"white, non-hispanic",male,2,divorced,midwest,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Divorced
24,74,professional or doctorate degree,"white, non-hispanic",male,2,living with partner,west,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,none,"yes, i am married",,,male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,catholic,61.0,associate degree,democrat,yes,31.0,31.0,36.0,31.0,,i earned more,different high school,did not attend same college or university,no,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,same-sex couple,13.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,Married
25,22,"some college, no degree","white, non-hispanic",male,4,never married,midwest,1,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,catholic,"no, i am not married",,i have a romantic partner who is not yet a sexual partner,female,,no (not latino or hispanic),white,no,catholic,22.0,bachelor's degree,republican,no,9.0,22.0,,,4-6 months,i earned more,different high school,did not attend same college or university,yes,approve,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,excellent,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,0.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,,,,yes,no,,Never married
26,73,7th or 8th grade,"white, non-hispanic",male,2,married,northeast,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,pentecostal,"yes, i am married",,,female,,no (not latino or hispanic),white,yes,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",66.0,"some college, no degree",independent,yes,20.0,27.0,27.0,27.0,,i earned more,different high school,,no,,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",yes,no,no,no,no,no,no,excellent,met offline,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,7.0,not met through friends,met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",northeast,yes,yes,,,,,Married
27,60,"some college, no degree","white, non-hispanic",male,2,never married,west,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",west,,,,,,,Never married
28,37,bachelors degree,hispanic,male,2,living with partner,south,0,working - as a paid employee,"yes, cuban",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple","yes, cuban",white,no,catholic,33.0,"some college, no degree",democrat,yes,34.0,35.0,35.0,,"more than 2 years, less than 3 years",i earned more,different high school,attended same college or university,no,approve,no,no,no,no,no,yes,no,no,no,"no, we did not meet through the internet",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,4.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,south,,,,yes,yes,,Living with partner
29,43,"some college, no degree","white, non-hispanic",male,2,living with partner,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Never married
30,41,12th grade no diploma,"white, non-hispanic",female,2,never married,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,jewish,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,,no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",48.0,master's degree,independent,no,41.0,41.0,,,4-6 months,partner earned more,different high school,,no,do not know,no,no,no,yes,no,no,no,no,no,"yes, an internet dating or matchmaking site (like eharmony or match.com)",no,no,no,no,no,yes,no,good,met online,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,different sex couple,7.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,no,,we broke up,Never married
31,36,associate degree,"black, non-hispanic",female,2,never married,south,4,working - as a paid employee,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,baptist-any denomination,"no, i am not married",yes,"yes, i have a sexual partner (boyfriend or girlfriend)",male,,no (not latino or hispanic),black or african american,no,baptist - any denomination,37.0,hs graduate or ged,democrat,no,31.0,31.0,,,,partner earned more,different high school,,no,approve,yes,no,no,no,no,no,no,no,no,"yes, a social networking site (like facebook or myspace)",no,no,no,no,no,yes,no,good,met offline,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Probably Did Not meet partner online, despite positive answer to q32 or q24",different sex couple,1.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"black, non-hispanic",south,,,,yes,no,,Never married
32,68,bachelors degree,"white, non-hispanic",male,2,living with partner,west,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,baptist-any denomination,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),asian or pacific islander,no,none,36.0,bachelor's degree,independent,yes,56.0,56.0,56.0,,,partner earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,no,yes,yes,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,32.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,,,,,,,,,
33,53,bachelors degree,hispanic,female,2,living with partner,west,0,working - as a paid employee,"yes, mexican, mexican-american, chicano",no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,democrat,none,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify",57.0,master's degree,democrat,yes,43.0,43.0,51.0,,,i earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,no,no,no,yes,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,good,met offline,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,4.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,west,,,,yes,yes,,Living with partner
34,48,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",female,1,never married,northeast,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",northeast,,,,,,,Never married
35,29,bachelors degree,"white, non-hispanic",female,1,never married,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,,no (not latino or hispanic),white,yes,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",34.0,master's degree,republican,no,26.0,26.0,,,3 years or more,i earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,no,yes,no,no,no,"no, we did not meet through the internet",no,yes,no,no,no,no,no,excellent,met offline,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,5.0,not met through friends,met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",west,,,,yes,no,,Living with partner
